Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://healingtherapycenter.com/,,-,0.0,n/a,0,301,0.06,0,0,0,0,0,-,0,0,1,0,0,-,-,0,0,1,-,
https://healingtherapycenter.com/llms.txt,,-,-,n/a,0,301,0.063,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,
https://healingtherapycenter.com/robots.txt,,-,-,n/a,0,301,0.229,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://www.healingtherapycenter.com/,"Healing Therapy Center | Therapists in Dearborn, MI",96,0.02727456018909173,n/a,0,200,0.198,0,1,1,0,0,Self-canonical,1,36,28,7,0,-,-,19,39,20,"mental health therapy in michigan - dearborn, detroit, ann arbor. individual therapy, couples counseling, trauma therapy, emdr, autism & adhd testing. bcbs, aetna accepted. (313) 654-1915",
https://www.healingtherapycenter.com/adhd-testing-evaluation,ADHD Testing & Evaluation in Michigan | Children & Adults,22,0.014004525380024007,n/a,1,200,0.072,0,0,1,0,0,Self-canonical,1,3,20,4,0,-,-,19,39,17,"adhd testing in michigan - dearborn, detroit, ann arbor for children and adults. professional evaluation & diagnosis. telehealth throughout michigan. (313) 654-1915",
https://www.healingtherapycenter.com/all-blogs,Mental Health Blog | Healing Therapy Center,100,0.027274560189091752,n/a,1,200,0.182,0,0,1,0,0,Self-canonical,1,35,31,4,0,-,-,19,39,19,"mental health blog from healing therapy center. expert advice on anxiety, depression, relationships, parenting, trauma recovery, and wellness tips.",
https://www.healingtherapycenter.com/amal-ayad,"Amal Ayad, MA | Life Coach | Healing Therapy Center",65,0.027074053479445703,n/a,1,200,0.187,0,0,1,0,0,Self-canonical,1,35,19,4,0,-,-,19,39,15,"amal ayad, ma - life coach at healing therapy center in dearborn, mi. specializing in life coaching, goal setting, confidence building, and personal growth.",
https://www.healingtherapycenter.com/anxiety-therapy-michigan,Anxiety Therapy in Michigan | Telehealth & Dearborn,48,0.014730430634458691,n/a,1,200,0.067,0,0,1,0,0,Self-canonical,1,5,21,4,0,-,-,19,39,15,"anxiety therapy in michigan - detroit, ann arbor, dearborn. treat panic attacks, gad, social anxiety & phobias with cbt. telehealth throughout michigan. (313) 654-1915",
https://www.healingtherapycenter.com/appointment,Make an Appointment | Healing Therapy Center Dearborn,70,0.027098261310126354,n/a,1,200,0.066,0,0,1,0,0,Self-canonical,1,35,19,5,0,-,-,19,39,16,"schedule your therapy appointment at healing therapy center in dearborn, mi. online booking available. call (313) 654-1915 for immediate assistance.",
https://www.healingtherapycenter.com/autism-evaluation,"Autism Evaluation in Dearborn, MI | Children",30,0.01417761060481922,n/a,1,200,0.073,0,0,1,0,0,Self-canonical,1,3,21,4,0,-,-,19,39,15,"autism evaluation in michigan for children. ados-2 assessment, expert psychologists in dearborn, detroit, ann arbor areas. bcbs, aetna accepted. (313) 654-1915",
